id,createdAt,updatedAt,Land_ID,State,District,Mandal,Village,Latitude,Land_Zone_Data,Soil_Type,Electricity,Approach_Road_Length,Longitude,Approach_Road_Type,Status,Fencing,Price_per_Acre,Water_Source_Data
1,Wed Oct 29 2025 16:05:54 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:05:54 GMT+0530 (India Standard Time),5096,Telangana,Rangareddy,Kondurg,Tekulapalle,17.1463817,0,Black,0,25,78.09244,kacha,active,0,0.85,"0
"
2,Wed Oct 29 2025 16:06:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:02 GMT+0530 (India Standard Time),8625,Telangana,Nagarkurnool,Veldanda,Veldanda,16.75748643,0,black,0,,78.53518495,,active,0,1.7,"0
"
3,Wed Oct 29 2025 16:06:09 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:09 GMT+0530 (India Standard Time),4953,Telangana,Nalgonda,Chintha Palle,Kurmaidu,16.871714,0,Black,0,0,78.75629,,active,0,0.8,"0
"
4,Wed Oct 29 2025 16:06:17 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:17 GMT+0530 (India Standard Time),4163,Telangana,Rangareddy,Talakondapally,Veljala,16.8358808,0,Red,0,20,78.3699391,kacha,active,1,0.7,"0
"
5,Wed Oct 29 2025 16:06:24 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:24 GMT+0530 (India Standard Time),9993,Telangana,Nalgonda,Devarakonda,Turupu Palli,16.690903,0,,0,100,78.823479,highway_road,active,0,0.75,"0
"
6,Wed Oct 29 2025 16:06:31 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:31 GMT+0530 (India Standard Time),2763,Telangana,Nalgonda,Peda Adisharla Palli,Keshamneni Palli,16.7883708,0,Red,0,18,79.101596,formation,active,0,0.55,"0
"
7,Wed Oct 29 2025 16:06:39 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:39 GMT+0530 (India Standard Time),8697,Telangana,Rangareddy,Amangal,Akuthotapalle,16.885399,0,,0,30,78.585159,blacktop,active,0,1.5,"0
"
8,Wed Oct 29 2025 16:06:47 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:47 GMT+0530 (India Standard Time),3461,Telangana,Mahabubnagar,Balangar,Chinna Revalli,16.9027484,0,Red,1,25,78.2981935,kacha,active,1,1.25,"0.5294117647058824
"
9,Wed Oct 29 2025 16:06:54 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:06:54 GMT+0530 (India Standard Time),9322,Telangana,Mahabubnagar,Rajapur,Mallepalle,16.86200774,0,Black,0,20,78.1892778,formation,active,1,1.2,"0
"
10,Wed Oct 29 2025 16:07:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:02 GMT+0530 (India Standard Time),9607,Telangana,Mahabubnagar,Nawabpet,Hanmasanipalle,16.85765165,0,black,0,40,78.05013156,blacktop,active,0,0.5,"0
"
11,Wed Oct 29 2025 16:07:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:10 GMT+0530 (India Standard Time),6201,Telangana,Mahabubnagar,Rajapur,Raghvapur,16.92238,0,red,0,40,78.1133867,blacktop,active,0,0.82,"0
"
12,Wed Oct 29 2025 16:07:17 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:17 GMT+0530 (India Standard Time),11059,Telangana,Mahabubnagar,Nawabpet,Lingampalle,16.92779024,0,black,0,,78.06572947,,active,0,0.45,"0
"
13,Wed Oct 29 2025 16:07:25 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:25 GMT+0530 (India Standard Time),10030,Telangana,Mahabubnagar,Nawabpet,Lingampalle,16.93965738,0,red,0,,78.07193105,,active,0,0.6,"0
"
14,Wed Oct 29 2025 16:07:32 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:32 GMT+0530 (India Standard Time),11161,Telangana,Mahabubnagar,Balangar,Mothighanapur,16.9911816,0,black,0,40,78.15038776,blacktop,active,0,1.78,"0
"
15,Wed Oct 29 2025 16:07:40 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:40 GMT+0530 (India Standard Time),2545,Telangana,Rangareddy,Farooqnagar,Veljerla Iii,17.028738,0,Red,1,40,78.293038,kacha,active,1,1.4,"0.35294117647058826
"
16,Wed Oct 29 2025 16:07:47 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:47 GMT+0530 (India Standard Time),4640,Telangana,Rangareddy,Keshampeta,Bhairkhanpalle,17.041864,0,Red,0,60,78.352414,blacktop,active,0,1.5,"0
"
17,Wed Oct 29 2025 16:07:54 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:07:54 GMT+0530 (India Standard Time),9027,Telangana,Rangareddy,Kandukur,Bachupalle,17.05606201,0,black,0,,78.44596508,,active,0,2,"0
"
18,Wed Oct 29 2025 16:08:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:02 GMT+0530 (India Standard Time),9351,Telangana,Rangareddy,Manchal,Nomula,17.17416429,0,Black,0,20,78.68599203,formation,active,0,1.5,"0
"
19,Wed Oct 29 2025 16:08:09 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:09 GMT+0530 (India Standard Time),3094,Telangana,Rangareddy,Manchal,Chittapur,17.175609,0,Red,0,0,78.735606,,active,0,1.35,"0
"
20,Wed Oct 29 2025 16:08:16 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:16 GMT+0530 (India Standard Time),8907,Telangana,Rangareddy,Kandukur,Pulumamidi,17.05825008,0,black,0,20,78.40233614,formation,active,0,1.2,"0
"
21,Wed Oct 29 2025 16:08:24 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:24 GMT+0530 (India Standard Time),2383,Telangana,Rangareddy,Kandukur,Meerkhanpet,17.044568,0,Red,0,20,78.565358,formation,active,0,1.8,"0
"
22,Wed Oct 29 2025 16:08:33 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:33 GMT+0530 (India Standard Time),88,Telangana,Rangareddy,Yacharam,Yacharam,17.055,1,mixed,0,20,78.6688611,kacha,active,0,2,"
"
23,Wed Oct 29 2025 16:08:40 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:40 GMT+0530 (India Standard Time),1974,Telangana,Nalgonda,Gattuppal,Somrajguda,17.05535,0,Red,0,20,78.873446,kacha,active,0,0.3,"0
"
24,Wed Oct 29 2025 16:08:47 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:47 GMT+0530 (India Standard Time),3281,Telangana,Nalgonda,Chandur,Thummalapalle,16.9569167,0,Red,0,40,79.0095,cc_road,active,0,0.55,"0
"
25,Wed Oct 29 2025 16:08:55 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:08:55 GMT+0530 (India Standard Time),3345,Telangana,Nalgonda,Nampally,Brahmana Gouraram,16.9111111,0,Black,0,20,78.927,formation,active,1,0.32,"0
"
26,Wed Oct 29 2025 16:09:03 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:03 GMT+0530 (India Standard Time),2960,Telangana,Nalgonda,Chintha Palle,Chintha Palli,16.809893,0,Red,1,20,78.799362,kacha,active,0,0.8,"0.35294117647058826
"
27,Wed Oct 29 2025 16:09:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:10 GMT+0530 (India Standard Time),6073,Telangana,Rangareddy,Madgul,Aurpalle,16.843129,0,black,0,0,78.625141,,active,0,0.65,"0
"
28,Wed Oct 29 2025 16:09:18 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:18 GMT+0530 (India Standard Time),10995,Telangana,Nagarkurnool,Veldanda,Ajilapur,16.81831544,0,black,0,40,78.6670629,blacktop,active,0,0.95,"0
"
29,Wed Oct 29 2025 16:09:25 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:25 GMT+0530 (India Standard Time),4478,Telangana,Rangareddy,Manchal,Arutla,17.106088,0,black,0,20,78.826718,formation,active,0,0.35,"0
"
30,Wed Oct 29 2025 16:09:32 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:32 GMT+0530 (India Standard Time),9368,Telangana,Rangareddy,Ibrahimpatnam,Rainguda,17.22108713,0,Black,0,30,78.73554389,formation,active,0,1.1,"0
"
31,Wed Oct 29 2025 16:09:40 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:40 GMT+0530 (India Standard Time),4341,Telangana,Yadadri Bhuvanagiri,Choutuppal,Peepal Pahad,17.2045423,0,Red,0,0,78.8616453,,active,0,0.55,"0
"
32,Wed Oct 29 2025 16:09:47 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:47 GMT+0530 (India Standard Time),6377,Telangana,Rangareddy,Nandigama,Chegur,17.1836417,0,red,0,20,78.2427417,formation,active,0,1.3,"0
"
33,Wed Oct 29 2025 16:09:54 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:09:54 GMT+0530 (India Standard Time),9630,Telangana,Rangareddy,Shabad,Chandenvalle,17.22853102,0,Black,0,,78.16666174,,active,1,2,"0
"
34,Wed Oct 29 2025 16:10:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:02 GMT+0530 (India Standard Time),4108,Telangana,Vikarabad,Pargi,Khudavanpur,17.1283779,0,Red,0,40,77.9090881,blacktop,active,1,1.7,"0
"
35,Wed Oct 29 2025 16:10:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:10 GMT+0530 (India Standard Time),5620,Telangana,Vikarabad,Dudyal,Dudyal,17.0393604,0,sandy,0,20,77.6777788,formation,active,0,0.55,"0
"
36,Wed Oct 29 2025 16:10:17 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:17 GMT+0530 (India Standard Time),8409,Telangana,Vikarabad,Doulatabad,Nandaram,17.03200314,0,red,0,20,77.5968088,formation,active,0,0.36,"0
"
37,Wed Oct 29 2025 16:10:25 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:25 GMT+0530 (India Standard Time),6657,Telangana,Vikarabad,Bomraspet,Dupcherla,17.201033,0,black,0,0,77.71859,,active,0,0.55,"0
"
38,Wed Oct 29 2025 16:10:32 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:32 GMT+0530 (India Standard Time),7167,Telangana,Vikarabad,Yelal,Rasnam,17.23303613,0,Black,0,,77.73137489,,active,0,0.29,"0
"
39,Wed Oct 29 2025 16:10:40 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:40 GMT+0530 (India Standard Time),1032,Telangana,Vikarabad,Dharur,Dornal,17.2525278,2,Red,0,40,77.7424444,blacktop,active,0,0.54,"0
"
40,Wed Oct 29 2025 16:10:47 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:47 GMT+0530 (India Standard Time),1890,Telangana,Vikarabad,Yelal,Annasagar,17.2429722,,Red,0,20,77.6952778,kacha,active,0,0.25,"
"
41,Wed Oct 29 2025 16:10:55 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:10:55 GMT+0530 (India Standard Time),1236,Telangana,Vikarabad,Yelal,Mazrasangam,17.2349018,2,black,0,24,77.6327419,kacha,active,0,0.28,"0
"
42,Wed Oct 29 2025 16:11:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:02 GMT+0530 (India Standard Time),4858,Telangana,Vikarabad,Yelal,Mukundapur,17.183183,0,Sandy,0,20,77.6200698,formation,active,0,0.25,"0
"
43,Wed Oct 29 2025 16:11:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:10 GMT+0530 (India Standard Time),2053,Telangana,Vikarabad,Basheerabad,Navalga,17.2118611,0,Black,0,0,77.488,,active,0,0.55,"0
"
44,Wed Oct 29 2025 16:11:17 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:17 GMT+0530 (India Standard Time),9908,Telangana,Vikarabad,Yelal,Hajipur,17.19951077,0,Black,0,30,77.6326291,blacktop,active,1,0.5,"0
"
45,Wed Oct 29 2025 16:11:24 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:24 GMT+0530 (India Standard Time),8002,Telangana,Vikarabad,Yelal,Jakkepalle,17.20973608,0,black,0,,77.62085654,,active,0,0.45,"0
"
46,Wed Oct 29 2025 16:11:32 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:32 GMT+0530 (India Standard Time),1930,Telangana,Vikarabad,Tandur,Bijwar,17.2462222,,Red,0,30,77.6586389,kacha,active,0,0.28,"
"
47,Wed Oct 29 2025 16:11:39 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:39 GMT+0530 (India Standard Time),10812,Telangana,Vikarabad,Tandur,Tandur (M),17.23457832,0,Black,0,20,77.58144202,formation,active,0,0.7,"0
"
48,Wed Oct 29 2025 16:11:46 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:46 GMT+0530 (India Standard Time),6743,Telangana,Vikarabad,Yelal,Bhagaipalle,17.215216,0,black,0,40,77.70214,blacktop,active,0,0.42,"0.35294117647058826
"
49,Wed Oct 29 2025 16:11:54 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:11:54 GMT+0530 (India Standard Time),9913,Telangana,Vikarabad,Bomraspet,Dupcherla,17.1998318,0,black,0,40,77.72438854,blacktop,active,0,0.65,"0
"
50,Wed Oct 29 2025 16:12:02 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:12:02 GMT+0530 (India Standard Time),6656,Telangana,Vikarabad,Bomraspet,Salimdapur,17.215319,0,red,0,40,77.743875,blacktop,active,0,0.55,"0
"
51,Wed Oct 29 2025 16:12:10 GMT+0530 (India Standard Time),Wed Oct 29 2025 16:12:10 GMT+0530 (India Standard Time),3808,Telangana,Vikarabad,Dharur,Rajapur,17.22061,0,Red,0,20,77.817413,kacha,active,0,0.48,"0
"
